protocol_id,condition_icd11,condition_name,chemotype_recommended,thc_start_mg,thc_max_mg,cbd_start_mg,cbd_max_mg,frequency,titration_schedule,administration_route,notes,evidence_level,primary_reference
DP-001,G89,Chronic pain (neuropathic),II,2.5,25.0,5.0,50.0,TID,Increase THC by 2.5mg every 3 days as tolerated,oral/sublingual,"Start low-go slow; bedtime dosing reduces psychoactivity risk",B,"Aviram J et al. (2021) Cannabis & Cannabinoid Research"
DP-002,G43,Migraine prophylaxis,II,1.0,10.0,10.0,40.0,BID,Increase CBD weekly; THC as rescue dose PRN,oral/sublingual,Daily CBD; THC rescue for acute attack only,C,"Lochte BC et al. (2017) Pharmacotherapy"
DP-003,F41.1,Generalised anxiety disorder,III,0.0,5.0,25.0,150.0,BID,Start CBD 25mg/day; titrate to 50mg increments,oral,"Avoid high-THC products; may worsen anxiety",A,"Blessing EM et al. (2015) Neurotherapeutics"
DP-004,G40.5,Dravet syndrome (paediatric),III,0.0,0.0,2.5,20.0,BID,Start 2.5mg/kg/day; max 20mg/kg/day,oral,"Epidiolex/Epidyolex formulation protocol; weight-based",A,"Devinsky O et al. (2017) NEJM"
DP-005,F32.2,Major depressive disorder,II,2.5,15.0,10.0,50.0,BID,Daytime CBD; low-dose THC evening,oral/sublingual,"Adjunct only; do not discontinue SSRIs",C,"Turna J et al. (2019) Journal of Affective Disorders"
DP-006,G47.0,Insomnia (sleep initiation),I,5.0,25.0,0.0,20.0,QD (evening),Titrate up over 2-week periods,inhalation/oral,"Indica-dominant strains preferred; CBN-rich formulas",B,"Babson KA et al. (2017) Current Psychiatry Reports"
DP-007,F41.0,Panic disorder,III,0.0,2.5,50.0,300.0,BID-TID,High CBD; avoid THC in acute panic presentations,oral/sublingual,"300mg CBD demonstrated acute anxiolytic effect in RCT",A,"Linares IM et al. (2019) Front Pharmacology"
DP-008,M79.3,Fibromyalgia,II,5.0,30.0,5.0,40.0,TID,Slow titration over 4-6 weeks,oral/sublingual/inhalation,"Combination THC:CBD may outperform either alone",C,"van de Donk T et al. (2019) Pain"
DP-009,K58,Irritable bowel syndrome,II,2.5,15.0,10.0,50.0,BID,Start CBD; add THC if inadequate response,oral,"CB1 receptor agonism reduces gut motility",C,"Sharkey KA et al. (2014) Nat Rev Gastroenterol"
DP-010,R52,Palliative cancer pain,I,5.0,40.0,5.0,30.0,TID-QID,Rapid titration acceptable in palliative setting,inhalation/oral,"Opioid-sparing effect documented; oral preferred for consistency",B,"Johnson JR et al. (2010) J Pain Symptom Manage"
DP-011,F43.1,PTSD,II,2.5,20.0,10.0,40.0,BID,Evening dose for nightmares; daytime CBD,oral/sublingual,"Nabilone studied for PTSD nightmares (RCT evidence)",B,"Fraser GA et al. (2009) J Psychoactive Drugs"
DP-012,G35,Multiple sclerosis (spasticity),II,2.5,12.0,2.5,12.0,TID,Nabiximols titration protocol (1-2 sprays per dose),sublingual/oromucosal,"Sativex/nabiximols approved in 30+ countries for MS spasticity",A,"Collin C et al. (2010) Eur J Neurology"
DP-013,F10.2,Cannabis use disorder (CBD-assisted),III,0.0,0.0,200.0,800.0,BID,200mg for 2 weeks; increase to 400mg week 3,oral,"CBD may reduce cue-induced craving; 800mg trial ongoing",B,"Morgan CJ et al. (2012) Psychopharmacology"
DP-014,K21,GERD / nausea (chemotherapy-induced),I,2.5,10.0,0.0,10.0,PRN,"As needed; 2-3 doses max/day","inhalation (fastest onset),oral","Dronabinol (synthetic THC) FDA-approved for chemo nausea",A,"Tramer MR et al. (2001) BMJ"
DP-015,F50.0,Anorexia / appetite stimulation,I,5.0,20.0,0.0,5.0,BID,"Pre-meal dosing; 30-60 min before meals",inhalation/oral,"HIV/AIDS and cancer-related cachexia; dronabinol approved",B,"Haney M et al. (2007) AIDS"
